 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Surface Pressure (hpa), Pressure Level (hPa), Delta Pressure (hPa)
867,250,50
867,200,37.5
867,175,25
867,150,25
867,125,25
867,100,22.5
867,80,15
867,70,10
867,60,10
867,50,10
867,40,10
867,30,7.5
867,25,5
867,20,2.5
868,1000,9.96921e+36
868,950,9.96921e+36
868,900,9.96921e+36
868,850,43
868,800,50
868,750,50
868,700,50
868,650,50
868,600,50
868,550,50
868,500,50
868,450,50
868,400,50
868,350,50
868,300,50
868,250,50
868,200,37.5
868,175,25
868,150,25
868,125,25
868,100,22.5
868,80,15
868,70,10
868,60,10
868,50,10
868,40,10
868,30,7.5
868,25,5
868,20,2.5
869,1000,9.96921e+36
869,950,9.96921e+36
869,900,9.96921e+36
869,850,44
869,800,50
869,750,50
869,700,50
869,650,50
869,600,50
869,550,50
869,500,50
869,450,50
869,400,50
869,350,50
869,300,50
869,250,50
869,200,37.5
869,175,25
869,150,25
869,125,25
869,100,22.5
869,80,15
869,70,10
869,60,10
869,50,10
869,40,10
869,30,7.5
869,25,5
869,20,2.5
870,1000,9.96921e+36
870,950,9.96921e+36
870,900,9.96921e+36
870,850,45
870,800,50
870,750,50
870,700,50
870,650,50
870,600,50
870,550,50
870,500,50
870,450,50
870,400,50
870,350,50
870,300,50
870,250,50
870,200,37.5
870,175,25
870,150,25
870,125,25
870,100,22.5
870,80,15
870,70,10
870,60,10
870,50,10
870,40,10
870,30,7.5
870,25,5
870,20,2.5
871,1000,9.96921e+36
871,950,9.96921e+36
871,900,9.96921e+36
871,850,46
871,800,50
871,750,50
871,700,50
871,650,50
871,600,50
871,550,50
871,500,50
871,450,50
871,400,50
871,350,50
871,300,50
871,250,50
871,200,37.5
871,175,25
871,150,25
871,125,25
871,100,22.5
871,80,15
871,70,10
871,60,10
871,50,10
871,40,10
871,30,7.5
871,25,5
871,20,2.5
872,1000,9.96921e+36
872,950,9.96921e+36
872,900,9.96921e+36
872,850,47
872,800,50
872,750,50
872,700,50
872,650,50
872,600,50
872,550,50
872,500,50
872,450,50
872,400,50
872,350,50
872,300,50
872,250,50
872,200,37.5
872,175,25
872,150,25
872,125,25
872,100,22.5
872,80,15
872,70,10
872,60,10
872,50,10
872,40,10
872,30,7.5
872,25,5
872,20,2.5
873,1000,9.96921e+36
873,950,9.96921e+36
873,900,9.96921e+36
873,850,48
873,800,50
873,750,50
873,700,50
873,650,50
873,600,50
873,550,50
873,500,50
873,450,50
873,400,50
873,350,50
873,300,50
873,250,50
873,200,37.5
873,175,25
873,150,25
873,125,25
873,100,22.5
873,80,15
873,70,10
873,60,10
873,50,10
873,40,10
873,30,7.5
873,25,5
873,20,2.5
874,1000,9.96921e+36
874,950,9.96921e+36
874,900,9.96921e+36
874,850,49
874,800,50
874,750,50
874,700,50
874,650,50
874,600,50
874,550,50
874,500,50
874,450,50
874,400,50
874,350,50
874,300,50
874,250,50
874,200,37.5
874,175,25
874,150,25
874,125,25
874,100,22.5
874,80,15
874,70,10
874,60,10
874,50,10
874,40,10
874,30,7.5
874,25,5
874,20,2.5
875,1000,9.96921e+36
875,950,9.96921e+36
875,900,0
875,850,50
875,800,50
875,750,50
875,700,50
875,650,50
875,600,50
875,550,50
875,500,50
875,450,50
875,400,50
875,350,50
875,300,50
875,250,50
875,200,37.5
875,175,25
875,150,25
875,125,25
875,100,22.5
875,80,15
875,70,10
875,60,10
875,50,10
875,40,10
875,30,7.5
875,25,5
875,20,2.5
876,1000,9.96921e+36
876,950,9.96921e+36
876,900,1
876,850,50
876,800,50
876,750,50
876,700,50
876,650,50
876,600,50
876,550,50
876,500,50
876,450,50
876,400,50
876,350,50
876,300,50
876,250,50
876,200,37.5
876,175,25
876,150,25
876,125,25
876,100,22.5
876,80,15
876,70,10
876,60,10
876,50,10
876,40,10
876,30,7.5
876,25,5
876,20,2.5
877,1000,9.96921e+36
877,950,9.96921e+36
877,900,2
877,850,50
877,800,50
877,750,50
877,700,50
877,650,50
877,600,50
877,550,50
877,500,50
877,450,50
877,400,50
877,350,50
877,300,50
877,250,50
877,200,37.5
877,175,25
877,150,25
877,125,25
877,100,22.5
877,80,15
877,70,10
877,60,10
877,50,10
877,40,10
877,30,7.5
877,25,5
877,20,2.5
878,1000,9.96921e+36
878,950,9.96921e+36
878,900,3
878,850,50
878,800,50
878,750,50
878,700,50
878,650,50
878,600,50
878,550,50
878,500,50
878,450,50
878,400,50
878,350,50
878,300,50
878,250,50
878,200,37.5
878,175,25
878,150,25
878,125,25
878,100,22.5
878,80,15
878,70,10
878,60,10
878,50,10
878,40,10
878,30,7.5
878,25,5
878,20,2.5
879,1000,9.96921e+36
879,950,9.96921e+36
879,900,4
879,850,50
879,800,50
879,750,50
879,700,50
879,650,50
879,600,50
879,550,50
879,500,50
879,450,50
879,400,50
879,350,50
879,300,50
879,250,50
879,200,37.5
879,175,25
879,150,25
879,125,25
879,100,22.5
879,80,15
879,70,10
879,60,10
879,50,10
879,40,10
879,30,7.5
879,25,5
879,20,2.5
880,1000,9.96921e+36
880,950,9.96921e+36
880,900,5
880,850,50
880,800,50
880,750,50
880,700,50
880,650,50
880,600,50
880,550,50
880,500,50
880,450,50
880,400,50
880,350,50
880,300,50
880,250,50
880,200,37.5
880,175,25
880,150,25
880,125,25
880,100,22.5
880,80,15
880,70,10
880,60,10
880,50,10
880,40,10
880,30,7.5
880,25,5
880,20,2.5
881,1000,9.96921e+36
881,950,9.96921e+36
881,900,6
881,850,50
881,800,50
881,750,50
881,700,50
881,650,50
881,600,50
881,550,50
881,500,50
881,450,50
881,400,50
881,350,50
881,300,50
881,250,50
881,200,37.5
881,175,25
881,150,25
881,125,25
881,100,22.5
881,80,15
881,70,10
881,60,10
881,50,10
881,40,10
881,30,7.5
881,25,5
881,20,2.5
882,1000,9.96921e+36
882,950,9.96921e+36
882,900,7
882,850,50
882,800,50
882,750,50
882,700,50
882,650,50
882,600,50
882,550,50
882,500,50
882,450,50
882,400,50
882,350,50
882,300,50
882,250,50
882,200,37.5
882,175,25
882,150,25
882,125,25
882,100,22.5
882,80,15
882,70,10
882,60,10
882,50,10
882,40,10
882,30,7.5
882,25,5
882,20,2.5
883,1000,9.96921e+36
883,950,9.96921e+36
883,900,8
883,850,50
883,800,50
883,750,50
883,700,50
883,650,50
883,600,50
883,550,50
883,500,50
883,450,50
883,400,50
883,350,50
883,300,50
883,250,50
883,200,37.5
883,175,25
883,150,25
883,125,25
883,100,22.5
883,80,15
883,70,10
883,60,10
883,50,10
883,40,10
883,30,7.5
883,25,5
883,20,2.5
884,1000,9.96921e+36
884,950,9.96921e+36
884,900,9
884,850,50
884,800,50
884,750,50
884,700,50
884,650,50
884,600,50
884,550,50
884,500,50
884,450,50
884,400,50
884,350,50
884,300,50
884,250,50
884,200,37.5
884,175,25
884,150,25
884,125,25
884,100,22.5
884,80,15
884,70,10
884,60,10
884,50,10
884,40,10
884,30,7.5
884,25,5
884,20,2.5
885,1000,9.96921e+36
885,950,9.96921e+36
885,900,10
885,850,50
885,800,50
885,750,50
885,700,50
885,650,50
885,600,50
885,550,50
885,500,50
885,450,50
885,400,50
885,350,50
885,300,50
885,250,50
885,200,37.5
885,175,25
885,150,25
885,125,25
885,100,22.5
885,80,15
885,70,10
885,60,10
885,50,10
885,40,10
885,30,7.5
885,25,5
885,20,2.5
886,1000,9.96921e+36
886,950,9.96921e+36
886,900,11
886,850,50
886,800,50
886,750,50
886,700,50
886,650,50
886,600,50
886,550,50
886,500,50
886,450,50
886,400,50
886,350,50
886,300,50
886,250,50
886,200,37.5
886,175,25
886,150,25
886,125,25
886,100,22.5
886,80,15
886,70,10
886,60,10
886,50,10
886,40,10
886,30,7.5
886,25,5
886,20,2.5
887,1000,9.96921e+36
887,950,9.96921e+36
887,900,12
887,850,50
887,800,50
887,750,50
887,700,50
887,650,50
887,600,50
887,550,50
887,500,50
887,450,50
887,400,50
887,350,50
887,300,50
887,250,50
887,200,37.5
887,175,25
887,150,25
887,125,25
887,100,22.5
887,80,15
887,70,10
887,60,10
887,50,10
887,40,10
887,30,7.5
887,25,5
887,20,2.5
888,1000,9.96921e+36
888,950,9.96921e+36
888,900,13
888,850,50
888,800,50
888,750,50
888,700,50
888,650,50
888,600,50
888,550,50
888,500,50
888,450,50
888,400,50
888,350,50
888,300,50
888,250,50
888,200,37.5
888,175,25
888,150,25
888,125,25
888,100,22.5
888,80,15
888,70,10
888,60,10
888,50,10
888,40,10
888,30,7.5
888,25,5
888,20,2.5
889,1000,9.96921e+36
889,950,9.96921e+36
889,900,14
889,850,50
889,800,50
889,750,50
889,700,50
889,650,50
889,600,50
889,550,50
889,500,50
889,450,50
889,400,50
889,350,50
889,300,50
889,250,50
889,200,37.5
889,175,25
889,150,25
889,125,25
889,100,22.5
889,80,15
889,70,10
889,60,10
889,50,10
889,40,10
889,30,7.5
889,25,5
889,20,2.5
890,1000,9.96921e+36
890,950,9.96921e+36
890,900,15
890,850,50
890,800,50
890,750,50
890,700,50
890,650,50
890,600,50
890,550,50
890,500,50
890,450,50
890,400,50
890,350,50
890,300,50
890,250,50
890,200,37.5
890,175,25
890,150,25
890,125,25
890,100,22.5
890,80,15
890,70,10
890,60,10
890,50,10
890,40,10
890,30,7.5
890,25,5
890,20,2.5
891,1000,9.96921e+36
891,950,9.96921e+36
891,900,16
891,850,50
891,800,50
891,750,50
891,700,50
891,650,50
891,600,50
891,550,50
891,500,50
891,450,50
891,400,50
891,350,50
891,300,50
891,250,50
891,200,37.5
891,175,25
891,150,25
891,125,25
891,100,22.5
891,80,15
891,70,10
891,60,10
891,50,10
891,40,10
891,30,7.5
891,25,5
891,20,2.5
892,1000,9.96921e+36
892,950,9.96921e+36
892,900,17
892,850,50
892,800,50
892,750,50
892,700,50
892,650,50
892,600,50
892,550,50
892,500,50
892,450,50
892,400,50
892,350,50
892,300,50
892,250,50
892,200,37.5
892,175,25
892,150,25
892,125,25
892,100,22.5
892,80,15
892,70,10
892,60,10
892,50,10
892,40,10
892,30,7.5
892,25,5
892,20,2.5
893,1000,9.96921e+36
893,950,9.96921e+36
893,900,18
893,850,50
893,800,50
893,750,50
893,700,50
893,650,50
893,600,50
893,550,50
893,500,50
893,450,50
893,400,50
893,350,50
893,300,50
893,250,50
893,200,37.5
893,175,25
893,150,25
893,125,25
893,100,22.5
893,80,15
893,70,10
893,60,10
893,50,10
893,40,10
893,30,7.5
893,25,5
893,20,2.5
894,1000,9.96921e+36
894,950,9.96921e+36
894,900,19
894,850,50
894,800,50
894,750,50
894,700,50
894,650,50
894,600,50
894,550,50
894,500,50
894,450,50
894,400,50
894,350,50
894,300,50
894,250,50
894,200,37.5
894,175,25
894,150,25
894,125,25
894,100,22.5
894,80,15
894,70,10
894,60,10
894,50,10
894,40,10
894,30,7.5
894,25,5
894,20,2.5
895,1000,9.96921e+36
895,950,9.96921e+36
895,900,20
895,850,50
895,800,50
895,750,50
895,700,50
895,650,50
895,600,50
895,550,50
895,500,50
895,450,50
895,400,50
895,350,50
895,300,50
895,250,50
895,200,37.5
895,175,25
895,150,25
895,125,25
895,100,22.5
895,80,15
895,70,10
895,60,10
895,50,10
895,40,10
895,30,7.5
895,25,5
895,20,2.5
896,1000,9.96921e+36
896,950,9.96921e+36
896,900,21
896,850,50
896,800,50
896,750,50
896,700,50
896,650,50
896,600,50
896,550,50
896,500,50
896,450,50
896,400,50
896,350,50
896,300,50
896,250,50
896,200,37.5
896,175,25
896,150,25
896,125,25
896,100,22.5
896,80,15
896,70,10
896,60,10
896,50,10
896,40,10
896,30,7.5
896,25,5
896,20,2.5
897,1000,9.96921e+36
897,950,9.96921e+36
897,900,22
897,850,50
897,800,50
897,750,50
897,700,50
897,650,50
897,600,50
897,550,50
897,500,50
897,450,50
897,400,50
897,350,50
897,300,50
897,250,50
897,200,37.5
897,175,25
897,150,25
897,125,25
897,100,22.5
897,80,15
897,70,10
897,60,10
897,50,10
897,40,10
897,30,7.5
897,25,5
897,20,2.5
898,1000,9.96921e+36
898,950,9.96921e+36
898,900,23
898,850,50
898,800,50
898,750,50
898,700,50
898,650,50
898,600,50
898,550,50
898,500,50
898,450,50
898,400,50
898,350,50
898,300,50
898,250,50
898,200,37.5
898,175,25
898,150,25
898,125,25
898,100,22.5
898,80,15
898,70,10
898,60,10
898,50,10
898,40,10
898,30,7.5
898,25,5
898,20,2.5
899,1000,9.96921e+36
899,950,9.96921e+36
899,900,24
899,850,50
899,800,50
899,750,50
899,700,50
899,650,50
899,600,50
899,550,50
899,500,50
899,450,50
899,400,50
899,350,50
899,300,50
899,250,50
899,200,37.5
899,175,25
899,150,25
899,125,25
899,100,22.5
899,80,15
899,70,10
899,60,10
899,50,10
899,40,10
899,30,7.5
899,25,5
899,20,2.5
900,1000,9.96921e+36
900,950,9.96921e+36
900,900,25
900,850,50
900,800,50
900,750,50
900,700,50
900,650,50
900,600,50
900,550,50
900,500,50
900,450,50
900,400,50
900,350,50
900,300,50
900,250,50
900,200,37.5
900,175,25
900,150,25
900,125,25
900,100,22.5
900,80,15
900,70,10
900,60,10
900,50,10
900,40,10
900,30,7.5
900,25,5
900,20,2.5
901,1000,9.96921e+36
901,950,9.96921e+36
901,900,26
901,850,50
901,800,50
901,750,50
901,700,50
901,650,50
901,600,50
901,550,50
901,500,50
901,450,50
901,400,50
901,350,50
901,300,50
901,250,50
901,200,37.5
901,175,25
901,150,25
901,125,25
901,100,22.5
901,80,15
901,70,10
901,60,10
901,50,10
901,40,10
901,30,7.5
901,25,5
901,20,2.5
902,1000,9.96921e+36
902,950,9.96921e+36
902,900,27
902,850,50
902,800,50
902,750,50
902,700,50
902,650,50
902,600,50
902,550,50
902,500,50
902,450,50
902,400,50
902,350,50
902,300,50
902,250,50
902,200,37.5
902,175,25
902,150,25
902,125,25
902,100,22.5
902,80,15
902,70,10
902,60,10
902,50,10
902,40,10
902,30,7.5
902,25,5
902,20,2.5
903,1000,9.96921e+36
903,950,9.96921e+36
903,900,28
903,850,50
903,800,50
903,750,50
903,700,50
903,650,50
903,600,50
903,550,50
903,500,50
903,450,50
903,400,50
903,350,50
903,300,50
903,250,50
903,200,37.5
903,175,25
903,150,25
903,125,25
903,100,22.5
903,80,15
903,70,10
903,60,10
903,50,10
903,40,10
903,30,7.5
903,25,5
903,20,2.5
904,1000,9.96921e+36
904,950,9.96921e+36
904,900,29
904,850,50
904,800,50
904,750,50
904,700,50
904,650,50
904,600,50
904,550,50
904,500,50
904,450,50
904,400,50
904,350,50
904,300,50
904,250,50
904,200,37.5
904,175,25
904,150,25
904,125,25
904,100,22.5
904,80,15
904,70,10
904,60,10
904,50,10
904,40,10
904,30,7.5
904,25,5
904,20,2.5
905,1000,9.96921e+36
905,950,9.96921e+36
905,900,30
905,850,50
905,800,50
905,750,50
905,700,50
905,650,50
905,600,50
905,550,50
905,500,50
905,450,50
905,400,50
905,350,50
905,300,50
905,250,50
905,200,37.5
905,175,25
905,150,25
905,125,25
905,100,22.5
905,80,15
905,70,10
905,60,10
905,50,10
905,40,10
905,30,7.5
905,25,5
905,20,2.5
906,1000,9.96921e+36
906,950,9.96921e+36
906,900,31
906,850,50
906,800,50
906,750,50
906,700,50
906,650,50
906,600,50
906,550,50
906,500,50
906,450,50
906,400,50
906,350,50
906,300,50
906,250,50
906,200,37.5
906,175,25
906,150,25
906,125,25
906,100,22.5
906,80,15
906,70,10
906,60,10
906,50,10
906,40,10
906,30,7.5
906,25,5
906,20,2.5
907,1000,9.96921e+36
907,950,9.96921e+36
907,900,32
907,850,50
907,800,50
907,750,50
907,700,50
907,650,50
907,600,50
907,550,50
907,500,50
907,450,50
907,400,50
907,350,50
907,300,50
907,250,50
907,200,37.5
907,175,25
907,150,25
907,125,25
907,100,22.5
907,80,15
907,70,10
907,60,10
907,50,10
907,40,10
907,30,7.5
907,25,5
907,20,2.5
908,1000,9.96921e+36
908,950,9.96921e+36
908,900,33
908,850,50
908,800,50
908,750,50
908,700,50
908,650,50
908,600,50
908,550,50
908,500,50
908,450,50
908,400,50
908,350,50
908,300,50
908,250,50
908,200,37.5
908,175,25
908,150,25
908,125,25
908,100,22.5
908,80,15
908,70,10
908,60,10
908,50,10
908,40,10
908,30,7.5
908,25,5
908,20,2.5
909,1000,9.96921e+36
909,950,9.96921e+36
909,900,34
909,850,50
909,800,50
909,750,50
909,700,50
909,650,50
909,600,50
909,550,50
909,500,50
909,450,50
909,400,50
909,350,50
909,300,50
909,250,50
909,200,37.5
909,175,25
909,150,25
909,125,25
909,100,22.5
909,80,15
909,70,10
909,60,10
909,50,10
909,40,10
909,30,7.5
909,25,5
909,20,2.5
910,1000,9.96921e+36
910,950,9.96921e+36
910,900,35
910,850,50
910,800,50
910,750,50
910,700,50
910,650,50
910,600,50
910,550,50
910,500,50
910,450,50
910,400,50
910,350,50
910,300,50
910,250,50
910,200,37.5
910,175,25
910,150,25
910,125,25
910,100,22.5
910,80,15
910,70,10
910,60,10
910,50,10
910,40,10
910,30,7.5
910,25,5
910,20,2.5
911,1000,9.96921e+36
911,950,9.96921e+36
911,900,36
911,850,50
911,800,50
911,750,50
911,700,50
911,650,50
911,600,50
911,550,50
911,500,50
911,450,50
911,400,50
911,350,50
911,300,50
911,250,50
911,200,37.5
911,175,25
911,150,25
911,125,25
911,100,22.5
911,80,15
911,70,10
911,60,10
911,50,10
911,40,10
911,30,7.5
911,25,5
911,20,2.5
912,1000,9.96921e+36
912,950,9.96921e+36
912,900,37
912,850,50
912,800,50
912,750,50
912,700,50
912,650,50
912,600,50
912,550,50
912,500,50
912,450,50
912,400,50
912,350,50
912,300,50
912,250,50
912,200,37.5
912,175,25
912,150,25
912,125,25
912,100,22.5
912,80,15
912,70,10
912,60,10
912,50,10
912,40,10
912,30,7.5
912,25,5
912,20,2.5
913,1000,9.96921e+36
913,950,9.96921e+36
913,900,38
913,850,50
913,800,50
913,750,50
913,700,50
913,650,50
913,600,50
913,550,50
913,500,50
913,450,50
913,400,50
913,350,50
913,300,50
913,250,50
913,200,37.5
913,175,25
913,150,25
913,125,25
913,100,22.5
913,80,15
913,70,10
913,60,10
913,50,10
913,40,10
913,30,7.5
913,25,5
913,20,2.5
914,1000,9.96921e+36
914,950,9.96921e+36
914,900,39
914,850,50
914,800,50
914,750,50
914,700,50
914,650,50
914,600,50
914,550,50
914,500,50
914,450,50
914,400,50
914,350,50
914,300,50
914,250,50
914,200,37.5
914,175,25
914,150,25
914,125,25
914,100,22.5
914,80,15
914,70,10
914,60,10
914,50,10
914,40,10
914,30,7.5
914,25,5
914,20,2.5
915,1000,9.96921e+36
915,950,9.96921e+36
915,900,40
915,850,50
915,800,50
915,750,50
915,700,50
915,650,50
915,600,50
915,550,50
915,500,50
915,450,50
915,400,50
915,350,50
915,300,50
915,250,50
915,200,37.5
915,175,25
915,150,25
915,125,25
915,100,22.5
915,80,15
915,70,10
915,60,10
915,50,10
915,40,10
915,30,7.5
915,25,5
915,20,2.5
916,1000,9.96921e+36
916,950,9.96921e+36
916,900,41
916,850,50
916,800,50
916,750,50
916,700,50
916,650,50
916,600,50
916,550,50
916,500,50
916,450,50
916,400,50
916,350,50
916,300,50
916,250,50
916,200,37.5
916,175,25
916,150,25
916,125,25
916,100,22.5
916,80,15
916,70,10
916,60,10
916,50,10
916,40,10
916,30,7.5
916,25,5
916,20,2.5
917,1000,9.96921e+36
917,950,9.96921e+36
917,900,42
917,850,50
917,800,50
917,750,50
917,700,50
917,650,50
917,600,50
917,550,50
917,500,50
917,450,50
917,400,50
917,350,50
917,300,50
917,250,50
917,200,37.5
917,175,25
917,150,25
917,125,25
917,100,22.5
917,80,15
917,70,10
917,60,10
917,50,10
917,40,10
917,30,7.5
917,25,5
917,20,2.5
918,1000,9.96921e+36
918,950,9.96921e+36
918,900,43
918,850,50
918,800,50
918,750,50
918,700,50
918,650,50
918,600,50
918,550,50
918,500,50
918,450,50
918,400,50
918,350,50
918,300,50
918,250,50
918,200,37.5
918,175,25
918,150,25
918,125,25
918,100,22.5
918,80,15
918,70,10
918,60,10
918,50,10
918,40,10
918,30,7.5
918,25,5
918,20,2.5
919,1000,9.96921e+36
919,950,9.96921e+36
919,900,44
919,850,50
919,800,50
919,750,50
919,700,50
919,650,50
919,600,50
919,550,50
919,500,50
919,450,50
919,400,50
919,350,50
919,300,50
919,250,50
919,200,37.5
919,175,25
919,150,25
919,125,25
919,100,22.5
919,80,15
919,70,10
919,60,10
919,50,10
919,40,10
919,30,7.5
919,25,5
919,20,2.5
920,1000,9.96921e+36
920,950,9.96921e+36
920,900,45
920,850,50
920,800,50
920,750,50
920,700,50
920,650,50
920,600,50
920,550,50
920,500,50
920,450,50
920,400,50
920,350,50
920,300,50
920,250,50
920,200,37.5
920,175,25
920,150,25
920,125,25
920,100,22.5
920,80,15
920,70,10
920,60,10
920,50,10
920,40,10
920,30,7.5
920,25,5
920,20,2.5
921,1000,9.96921e+36
921,950,9.96921e+36
921,900,46
921,850,50
921,800,50
921,750,50
921,700,50
921,650,50
921,600,50
921,550,50
921,500,50
921,450,50
921,400,50
921,350,50
921,300,50
921,250,50
921,200,37.5
921,175,25
921,150,25
921,125,25
921,100,22.5
921,80,15
921,70,10
921,60,10
921,50,10
921,40,10
921,30,7.5
921,25,5
921,20,2.5
922,1000,9.96921e+36
922,950,9.96921e+36
922,900,47
922,850,50
922,800,50
922,750,50
922,700,50
922,650,50
922,600,50
922,550,50
922,500,50
922,450,50
922,400,50
922,350,50
922,300,50
922,250,50
922,200,37.5
922,175,25
922,150,25
922,125,25
922,100,22.5
922,80,15
922,70,10
922,60,10
922,50,10
922,40,10
922,30,7.5
922,25,5
922,20,2.5
923,1000,9.96921e+36
923,950,9.96921e+36
923,900,48
923,850,50
923,800,50
923,750,50
923,700,50
923,650,50
923,600,50
923,550,50
923,500,50
923,450,50
923,400,50
923,350,50
923,300,50
923,250,50
923,200,37.5
923,175,25
923,150,25
923,125,25
923,100,22.5
923,80,15
923,70,10
923,60,10
923,50,10
923,40,10
923,30,7.5
923,25,5
923,20,2.5
924,1000,9.96921e+36
924,950,9.96921e+36
924,900,49
924,850,50
924,800,50
924,750,50
924,700,50
924,650,50
924,600,50
924,550,50
924,500,50
924,450,50
924,400,50
924,350,50
924,300,50
924,250,50
924,200,37.5
924,175,25
924,150,25
924,125,25
924,100,22.5
924,80,15
924,70,10
924,60,10
924,50,10
924,40,10
924,30,7.5
924,25,5
924,20,2.5
925,1000,9.96921e+36
925,950,0
925,900,50
925,850,50
925,800,50
925,750,50
925,700,50
925,650,50
925,600,50
925,550,50
925,500,50
925,450,50
925,400,50
925,350,50
925,300,50
925,250,50
925,200,37.5
925,175,25
925,150,25
925,125,25
925,100,22.5
925,80,15
925,70,10
925,60,10
925,50,10
925,40,10
925,30,7.5
925,25,5
925,20,2.5
926,1000,9.96921e+36
926,950,1
926,900,50
926,850,50
926,800,50
926,750,50
926,700,50
926,650,50
926,600,50
926,550,50
926,500,50
926,450,50
926,400,50
926,350,50
926,300,50
926,250,50
926,200,37.5
926,175,25
926,150,25
926,125,25
926,100,22.5
926,80,15
926,70,10
926,60,10
926,50,10
926,40,10
926,30,7.5
926,25,5
926,20,2.5
927,1000,9.96921e+36
927,950,2
927,900,50
927,850,50
927,800,50
927,750,50
927,700,50
927,650,50
927,600,50
927,550,50
927,500,50
927,450,50
927,400,50
927,350,50
927,300,50
927,250,50
927,200,37.5
927,175,25
927,150,25
927,125,25
927,100,22.5
927,80,15
927,70,10
927,60,10
927,50,10
927,40,10
927,30,7.5
927,25,5
927,20,2.5
928,1000,9.96921e+36
928,950,3
928,900,50
928,850,50
928,800,50
928,750,50
928,700,50
928,650,50
928,600,50
928,550,50
928,500,50
928,450,50
928,400,50
928,350,50
928,300,50
928,250,50
928,200,37.5
928,175,25
928,150,25
928,125,25
928,100,22.5
928,80,15
928,70,10
928,60,10
928,50,10
928,40,10
928,30,7.5
928,25,5
928,20,2.5
929,1000,9.96921e+36
929,950,4
929,900,50
929,850,50
929,800,50
929,750,50
929,700,50
929,650,50
929,600,50
929,550,50
929,500,50
929,450,50
929,400,50
929,350,50
929,300,50
929,250,50
929,200,37.5
929,175,25
929,150,25
929,125,25
929,100,22.5
929,80,15
929,70,10
929,60,10
929,50,10
929,40,10
929,30,7.5
929,25,5
929,20,2.5
930,1000,9.96921e+36
930,950,5
930,900,50
930,850,50
930,800,50
930,750,50
930,700,50
930,650,50
930,600,50
930,550,50
930,500,50
930,450,50
930,400,50
930,350,50
930,300,50
930,250,50
930,200,37.5
930,175,25
930,150,25
930,125,25
930,100,22.5
930,80,15
930,70,10
930,60,10
930,50,10
930,40,10
930,30,7.5
930,25,5
930,20,2.5
931,1000,9.96921e+36
931,950,6
931,900,50
931,850,50
931,800,50
931,750,50
931,700,50
931,650,50
931,600,50
931,550,50
931,500,50
931,450,50
931,400,50
931,350,50
931,300,50
931,250,50
931,200,37.5
931,175,25
931,150,25
931,125,25
931,100,22.5
931,80,15
931,70,10
931,60,10
931,50,10
931,40,10
931,30,7.5
931,25,5
931,20,2.5
932,1000,9.96921e+36
932,950,7
932,900,50
932,850,50
932,800,50
932,750,50
932,700,50
932,650,50
932,600,50
932,550,50
932,500,50
932,450,50
932,400,50
932,350,50
932,300,50
932,250,50
932,200,37.5
932,175,25
932,150,25
932,125,25
932,100,22.5
932,80,15
932,70,10
932,60,10
932,50,10
932,40,10
932,30,7.5
932,25,5
932,20,2.5
933,1000,9.96921e+36
933,950,8
933,900,50
933,850,50
933,800,50
933,750,50
933,700,50
933,650,50
933,600,50
933,550,50
933,500,50
933,450,50
933,400,50
933,350,50
933,300,50
933,250,50
933,200,37.5
933,175,25
933,150,25
933,125,25
933,100,22.5
933,80,15
933,70,10
933,60,10
933,50,10
933,40,10
933,30,7.5
933,25,5
933,20,2.5
934,1000,9.96921e+36
934,950,9
934,900,50
934,850,50
934,800,50
934,750,50
934,700,50
934,650,50
934,600,50
934,550,50
934,500,50
934,450,50
934,400,50
934,350,50
934,300,50
934,250,50
934,200,37.5
934,175,25
934,150,25
934,125,25
934,100,22.5
934,80,15
934,70,10
934,60,10
934,50,10
934,40,10
934,30,7.5
934,25,5
934,20,2.5
935,1000,9.96921e+36
935,950,10
935,900,50
935,850,50
935,800,50
935,750,50
935,700,50
935,650,50
935,600,50
935,550,50
935,500,50
935,450,50
935,400,50
935,350,50
935,300,50
935,250,50
935,200,37.5
935,175,25
935,150,25
935,125,25
935,100,22.5
935,80,15
935,70,10
935,60,10
935,50,10
935,40,10
935,30,7.5
935,25,5
935,20,2.5
936,1000,9.96921e+36
936,950,11
936,900,50
936,850,50
936,800,50
936,750,50
936,700,50
936,650,50
936,600,50
936,550,50
936,500,50
936,450,50
936,400,50
936,350,50
936,300,50
936,250,50
936,200,37.5
936,175,25
936,150,25
936,125,25
936,100,22.5
936,80,15
936,70,10
936,60,10
936,50,10
936,40,10
936,30,7.5
936,25,5
936,20,2.5
937,1000,9.96921e+36
937,950,12
937,900,50
937,850,50
937,800,50
937,750,50
937,700,50
937,650,50
937,600,50
937,550,50
937,500,50
937,450,50
937,400,50
937,350,50
937,300,50
937,250,50
937,200,37.5
937,175,25
937,150,25
937,125,25
937,100,22.5
937,80,15
937,70,10
937,60,10
937,50,10
937,40,10
937,30,7.5
937,25,5
937,20,2.5
938,1000,9.96921e+36
938,950,13
938,900,50
938,850,50
938,800,50
938,750,50
938,700,50
938,650,50
938,600,50
938,550,50
938,500,50
938,450,50
938,400,50
938,350,50
938,300,50
938,250,50
938,200,37.5
938,175,25
938,150,25
938,125,25
938,100,22.5
938,80,15
938,70,10
938,60,10
