 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Pressure (kPa), Psychrometric Constant (kPa/C)
1244,0.826937
1245,0.827601
1246,0.828266
1247,0.828931
1248,0.829596
1249,0.83026
1250,0.830925
1251,0.83159
1252,0.832254
1253,0.832919
1254,0.833584
1255,0.834249
1256,0.834913
1257,0.835578
1258,0.836243
1259,0.836908
1260,0.837572
1261,0.838237
1262,0.838902
1263,0.839567
1264,0.840231
1265,0.840896
1266,0.841561
1267,0.842226
1268,0.84289
1269,0.843555
1270,0.84422
1271,0.844885
1272,0.845549
1273,0.846214
1274,0.846879
1275,0.847543
1276,0.848208
1277,0.848873
1278,0.849538
1279,0.850202
1280,0.850867
1281,0.851532
1282,0.852197
1283,0.852861
1284,0.853526
1285,0.854191
1286,0.854856
1287,0.85552
1288,0.856185
1289,0.85685
1290,0.857515
1291,0.858179
1292,0.858844
1293,0.859509
1294,0.860174
1295,0.860838
1296,0.861503
1297,0.862168
1298,0.862832
1299,0.863497
1300,0.864162
1301,0.864827
1302,0.865491
1303,0.866156
1304,0.866821
1305,0.867486
1306,0.86815
1307,0.868815
1308,0.86948
1309,0.870145
1310,0.870809
1311,0.871474
1312,0.872139
1313,0.872804
1314,0.873468
1315,0.874133
1316,0.874798
1317,0.875463
1318,0.876127
1319,0.876792
1320,0.877457
1321,0.878121
1322,0.878786
1323,0.879451
1324,0.880116
1325,0.88078
1326,0.881445
1327,0.88211
1328,0.882775
1329,0.883439
1330,0.884104
1331,0.884769
1332,0.885434
1333,0.886098
1334,0.886763
1335,0.887428
1336,0.888093
1337,0.888757
1338,0.889422
1339,0.890087
1340,0.890752
1341,0.891416
1342,0.892081
1343,0.892746
1344,0.893411
1345,0.894075
1346,0.89474
1347,0.895405
1348,0.89607
1349,0.896734
1350,0.897399
1351,0.898064
1352,0.898728
1353,0.899393
1354,0.900058
1355,0.900723
1356,0.901387
1357,0.902052
1358,0.902717
1359,0.903382
1360,0.904046
1361,0.904711
1362,0.905376
1363,0.906041
1364,0.906705
1365,0.90737
1366,0.908035
1367,0.9087
1368,0.909364
1369,0.910029
1370,0.910694
1371,0.911359
1372,0.912023
1373,0.912688
1374,0.913353
1375,0.914017
1376,0.914682
1377,0.915347
1378,0.916012
1379,0.916676
1380,0.917341
1381,0.918006
1382,0.918671
1383,0.919335
1384,0.92
1385,0.920665
1386,0.92133
1387,0.921994
1388,0.922659
1389,0.923324
1390,0.923989
1391,0.924653
1392,0.925318
1393,0.925983
1394,0.926648
1395,0.927312
1396,0.927977
1397,0.928642
1398,0.929307
1399,0.929971
1400,0.930636
1401,0.931301
1402,0.931965
1403,0.93263
1404,0.933295
1405,0.93396
1406,0.934624
1407,0.935289
1408,0.935954
1409,0.936619
1410,0.937283
1411,0.937948
1412,0.938613
1413,0.939278
1414,0.939942
1415,0.940607
1416,0.941272
1417,0.941937
1418,0.942601
1419,0.943266
1420,0.943931
1421,0.944596
1422,0.94526
1423,0.945925
1424,0.94659
1425,0.947254
1426,0.947919
1427,0.948584
1428,0.949249
1429,0.949913
1430,0.950578
1431,0.951243
1432,0.951908
1433,0.952572
1434,0.953237
1435,0.953902
1436,0.954567
1437,0.955231
1438,0.955896
1439,0.956561
1440,0.957226
1441,0.95789
1442,0.958555
1443,0.95922
1444,0.959885
1445,0.960549
1446,0.961214
1447,0.961879
1448,0.962543
1449,0.963208
1450,0.963873
1451,0.964538
1452,0.965202
1453,0.965867
