 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Latitude (Degree), Longitude (Degree), Cartesian X, Cartesian Y, Cartesian Z
-90,-90,1.91069e-15,4.37114e-08,-1
-90,-89,-7.62868e-10,4.37047e-08,-1
-90,-88,-1.52551e-09,4.36848e-08,-1
-90,-87,-2.28768e-09,4.36515e-08,-1
-90,-86,-3.04915e-09,4.36049e-08,-1
-90,-85,-3.8097e-09,4.35451e-08,-1
-90,-84,-4.56908e-09,4.34719e-08,-1
-90,-83,-5.32708e-09,4.33856e-08,-1
-90,-82,-6.08345e-09,4.3286e-08,-1
-90,-81,-6.83797e-09,4.31732e-08,-1
-90,-80,-7.5904e-09,4.30473e-08,-1
-90,-79,-8.34053e-09,4.29083e-08,-1
-90,-78,-9.08811e-09,4.27562e-08,-1
-90,-77,-9.83292e-09,4.25911e-08,-1
-90,-76,-1.05747e-08,4.2413e-08,-1
-90,-75,-1.13133e-08,4.2222e-08,-1
-90,-74,-1.20485e-08,4.20181e-08,-1
-90,-73,-1.278e-08,4.18014e-08,-1
-90,-72,-1.35076e-08,4.1572e-08,-1
-90,-71,-1.4231e-08,4.13299e-08,-1
-90,-70,-1.49502e-08,4.10753e-08,-1
-90,-69,-1.56648e-08,4.08081e-08,-1
-90,-68,-1.63746e-08,4.05285e-08,-1
-90,-67,-1.70794e-08,4.02365e-08,-1
-90,-66,-1.7779e-08,3.99323e-08,-1
-90,-65,-1.84732e-08,3.9616e-08,-1
-90,-64,-1.91618e-08,3.92875e-08,-1
-90,-63,-1.98446e-08,3.89471e-08,-1
-90,-62,-2.05213e-08,3.85949e-08,-1
-90,-61,-2.11917e-08,3.82308e-08,-1
-90,-60,-2.18557e-08,3.78552e-08,-1
-90,-59,-2.2513e-08,3.7468e-08,-1
-90,-58,-2.31635e-08,3.70694e-08,-1
-90,-57,-2.38069e-08,3.66595e-08,-1
-90,-56,-2.44431e-08,3.62384e-08,-1
-90,-55,-2.50718e-08,3.58063e-08,-1
-90,-54,-2.56929e-08,3.53633e-08,-1
-90,-53,-2.63062e-08,3.49095e-08,-1
-90,-52,-2.69114e-08,3.4445e-08,-1
-90,-51,-2.75085e-08,3.39701e-08,-1
-90,-50,-2.80971e-08,3.34849e-08,-1
-90,-49,-2.86773e-08,3.29894e-08,-1
-90,-48,-2.92486e-08,3.24839e-08,-1
-90,-47,-2.98111e-08,3.19685e-08,-1
-90,-46,-3.03645e-08,3.14433e-08,-1
-90,-45,-3.09086e-08,3.09086e-08,-1
-90,-44,-3.14433e-08,3.03645e-08,-1
-90,-43,-3.19685e-08,2.98111e-08,-1
-90,-42,-3.24839e-08,2.92486e-08,-1
-90,-41,-3.29894e-08,2.86773e-08,-1
-90,-40,-3.34849e-08,2.80971e-08,-1
-90,-39,-3.39701e-08,2.75085e-08,-1
-90,-38,-3.4445e-08,2.69114e-08,-1
-90,-37,-3.49095e-08,2.63062e-08,-1
-90,-36,-3.53633e-08,2.56929e-08,-1
-90,-35,-3.58063e-08,2.50718e-08,-1
-90,-34,-3.62384e-08,2.44431e-08,-1
-90,-33,-3.66595e-08,2.38069e-08,-1
-90,-32,-3.70694e-08,2.31635e-08,-1
-90,-31,-3.7468e-08,2.2513e-08,-1
-90,-30,-3.78552e-08,2.18557e-08,-1
-90,-29,-3.82308e-08,2.11917e-08,-1
-90,-28,-3.85949e-08,2.05213e-08,-1
-90,-27,-3.89471e-08,1.98446e-08,-1
-90,-26,-3.92875e-08,1.91618e-08,-1
-90,-25,-3.9616e-08,1.84732e-08,-1
-90,-24,-3.99323e-08,1.7779e-08,-1
-90,-23,-4.02365e-08,1.70794e-08,-1
-90,-22,-4.05285e-08,1.63746e-08,-1
-90,-21,-4.08081e-08,1.56648e-08,-1
-90,-20,-4.10753e-08,1.49502e-08,-1
-90,-19,-4.13299e-08,1.4231e-08,-1
-90,-18,-4.1572e-08,1.35076e-08,-1
-90,-17,-4.18014e-08,1.278e-08,-1
-90,-16,-4.20181e-08,1.20485e-08,-1
-90,-15,-4.2222e-08,1.13133e-08,-1
-90,-14,-4.2413e-08,1.05747e-08,-1
-90,-13,-4.25911e-08,9.83292e-09,-1
-90,-12,-4.27562e-08,9.08811e-09,-1
-90,-11,-4.29083e-08,8.34053e-09,-1
-90,-10,-4.30473e-08,7.5904e-09,-1
-90,-9,-4.31732e-08,6.83797e-09,-1
-90,-8,-4.3286e-08,6.08345e-09,-1
-90,-7,-4.33856e-08,5.32708e-09,-1
-90,-6,-4.34719e-08,4.56908e-09,-1
-90,-5,-4.35451e-08,3.8097e-09,-1
-90,-4,-4.36049e-08,3.04915e-09,-1
-90,-3,-4.36515e-08,2.28768e-09,-1
-90,-2,-4.36848e-08,1.52551e-09,-1
-90,-1,-4.37047e-08,7.62869e-10,-1
-90,0,-4.37114e-08,-0,-1
-90,1,-4.37047e-08,-7.62869e-10,-1
-90,2,-4.36848e-08,-1.52551e-09,-1
-90,3,-4.36515e-08,-2.28768e-09,-1
-90,4,-4.36049e-08,-3.04915e-09,-1
-90,5,-4.35451e-08,-3.8097e-09,-1
-90,6,-4.34719e-08,-4.56908e-09,-1
-90,7,-4.33856e-08,-5.32708e-09,-1
-90,8,-4.3286e-08,-6.08345e-09,-1
-90,9,-4.31732e-08,-6.83797e-09,-1
-90,10,-4.30473e-08,-7.5904e-09,-1
-90,11,-4.29083e-08,-8.34053e-09,-1
-90,12,-4.27562e-08,-9.08811e-09,-1
-90,13,-4.25911e-08,-9.83292e-09,-1
